"Date","Price","Open","High","Low","Change %"
"08/11/2019","102.461","102.461","102.461","102.461","0.20%"
"08/09/2019","102.258","102.258","102.258","102.258","-0.95%"
"08/08/2019","103.236","103.236","103.236","103.236","1.29%"
"08/07/2019","101.918","101.918","101.918","101.918","-0.37%"
"08/06/2019","102.297","102.297","102.297","102.297","-0.13%"
"08/05/2019","102.427","102.427","102.427","102.427","0.99%"
"08/04/2019","101.423","101.351","101.423","101.351","-0.09%"
"08/02/2019","101.518","101.518","101.518","101.518","-0.13%"
"08/01/2019","101.654","101.654","101.654","101.654","1.25%"
"07/31/2019","100.402","100.402","100.402","100.402","0.72%"
"07/30/2019","99.681","99.681","99.681","99.681","0.11%"
"07/29/2019","99.569","99.569","99.569","99.569","-0.28%"
"07/28/2019","99.850","99.796","99.861","99.796","0.16%"
"07/26/2019","99.689","99.689","99.689","99.689","0.17%"
"07/25/2019","99.518","99.518","99.518","99.518","-0.09%"
"07/24/2019","99.609","99.609","99.609","99.609","0.68%"
"07/23/2019","98.933","98.933","98.933","98.933","-0.64%"
"07/22/2019","99.571","99.571","99.571","99.571","0.18%"
"07/21/2019","99.392","99.327","99.407","99.327","0.08%"
"07/19/2019","99.313","99.313","99.313","99.313","-0.25%"
"07/18/2019","99.563","99.563","99.563","99.563","0.68%"
"07/17/2019","98.895","98.895","98.895","98.895","0.42%"
"07/16/2019","98.479","98.479","98.479","98.479","-0.15%"
"07/15/2019","98.628","98.628","98.628","98.628","0.42%"
"07/14/2019","98.219","98.219","98.219","98.219","0.27%"
"07/12/2019","97.957","97.957","97.957","97.957","0.26%"
"07/11/2019","97.699","97.699","97.699","97.699","-1.01%"
"07/10/2019","98.692","98.692","98.692","98.692","-0.35%"
"07/09/2019","99.042","99.042","99.042","99.042","-0.14%"
"07/08/2019","99.178","99.178","99.178","99.178","-0.73%"
"07/07/2019","99.912","99.828","99.912","99.828","0.15%"
"07/05/2019","99.760","99.760","99.760","99.760","-1.27%"
"07/04/2019","101.042","101.042","101.042","101.042","0.15%"
"07/03/2019","100.893","100.893","100.893","100.893","1.03%"
"07/02/2019","99.861","99.861","99.861","99.861","0.62%"
"07/01/2019","99.246","99.246","99.246","99.246","-0.51%"
"06/30/2019","99.753","99.695","99.759","99.695","-0.37%"
"06/28/2019","100.123","100.123","100.123","100.123","0.85%"
"06/27/2019","99.284","99.284","99.284","99.284","1.09%"
"06/26/2019","98.217","98.217","98.217","98.217","-0.89%"
"06/25/2019","99.098","99.098","99.098","99.098","0.03%"
"06/24/2019","99.069","99.069","99.069","99.069","1.04%"
"06/23/2019","98.053","98.139","98.139","98.001","-0.07%"
"06/21/2019","98.119","98.119","98.119","98.119","-0.35%"
"06/20/2019","98.459","98.459","98.459","98.459","0.57%"
"06/19/2019","97.900","97.900","97.900","97.900","1.41%"
"06/18/2019","96.538","96.538","96.538","96.538","0.73%"
"06/17/2019","95.843","95.843","95.843","95.843","1.07%"
"06/16/2019","94.833","95.064","95.064","94.833","-0.27%"
"06/14/2019","95.093","95.093","95.093","95.093","-0.45%"
"06/13/2019","95.519","95.519","95.519","95.519","0.26%"
"06/12/2019","95.273","95.273","95.273","95.273","-0.33%"
"06/11/2019","95.591","95.591","95.591","95.591","1.29%"
"06/10/2019","94.369","94.369","94.369","94.369","-0.59%"
"06/09/2019","94.926","94.888","94.951","94.888","-0.33%"
"06/07/2019","95.237","95.237","95.237","95.237","0.39%"
"06/06/2019","94.869","94.869","94.869","94.869","0.79%"
"06/05/2019","94.127","94.127","94.127","94.127","-0.77%"
"06/04/2019","94.856","94.856","94.856","94.856","-0.86%"
"06/03/2019","95.675","95.675","95.675","95.675","1.24%"
"06/02/2019","94.500","94.481","94.503","94.481","0.06%"
"05/31/2019","94.439","94.439","94.439","94.439","0.20%"
"05/30/2019","94.246","94.246","94.246","94.246","1.23%"
"05/29/2019","93.105","93.105","93.105","93.105","-0.37%"
"05/28/2019","93.448","93.448","93.448","93.448","0.28%"
"05/27/2019","93.186","93.186","93.186","93.186","0.43%"
"05/26/2019","92.788","92.788","92.788","92.788","-0.18%"
"05/24/2019","92.953","92.953","92.953","92.953","0.58%"
"05/23/2019","92.415","92.415","92.415","92.415","-0.13%"
"05/22/2019","92.533","92.533","92.533","92.533","0.44%"
"05/21/2019","92.128","92.128","92.128","92.128","-0.93%"
"05/20/2019","92.989","92.989","92.989","92.989","0.10%"
"05/19/2019","92.896","92.911","92.923","92.896","-0.12%"
"05/17/2019","93.009","93.009","93.009","93.009","-0.51%"
"05/16/2019","93.486","93.486","93.486","93.486","-0.27%"
"05/15/2019","93.742","93.742","93.742","93.742","0.48%"
"05/14/2019","93.290","93.290","93.290","93.290","0.36%"
"05/13/2019","92.957","92.957","92.957","92.957","-1.39%"
"05/12/2019","94.266","94.329","94.329","94.234","0.45%"
"05/10/2019","93.843","93.843","93.843","93.843","0.53%"
"05/09/2019","93.351","93.351","93.351","93.351","0.49%"
"05/08/2019","92.900","92.900","92.900","92.900","-0.91%"
"05/07/2019","93.755","93.755","93.755","93.755","0.84%"
"05/06/2019","92.973","92.973","92.973","92.973","0.34%"
"05/05/2019","92.662","92.662","92.662","92.662","0.00%"
"05/03/2019","92.661","92.661","92.661","92.661","0.16%"
"05/02/2019","92.515","92.515","92.515","92.515","-0.63%"
"05/01/2019","93.104","93.104","93.104","93.104","0.05%"
"04/30/2019","93.057","93.057","93.057","93.057","-0.19%"
"04/29/2019","93.237","93.237","93.237","93.237","-0.63%"
"04/28/2019","93.826","93.826","93.826","93.826","-0.04%"
"04/26/2019","93.864","93.864","93.864","93.864","0.48%"
"04/25/2019","93.411","93.411","93.411","93.411","-0.16%"
"04/24/2019","93.557","93.557","93.557","93.557","0.90%"
"04/23/2019","92.727","92.727","92.727","92.727","0.17%"
"04/22/2019","92.567","92.567","92.567","92.567","-0.18%"
"04/21/2019","92.733","92.834","92.834","92.733","-0.20%"
"04/19/2019","92.919","92.919","92.919","92.919","0.01%"
"04/18/2019","92.908","92.908","92.908","92.908","-0.70%"
"04/17/2019","93.564","93.564","93.564","93.564","0.31%"
"04/16/2019","93.274","93.274","93.274","93.274","-0.25%"
"04/15/2019","93.507","93.507","93.507","93.507","0.41%"
"04/14/2019","93.125","93.057","93.125","93.057","0.06%"
"04/12/2019","93.069","93.069","93.069","93.069","-0.11%"
"04/11/2019","93.170","93.170","93.170","93.170","-1.28%"
"04/10/2019","94.379","94.379","94.379","94.379","0.59%"
"04/09/2019","93.829","93.829","93.829","93.829","0.24%"
"04/08/2019","93.600","93.600","93.600","93.600","-0.24%"
"04/07/2019","93.825","93.794","93.825","93.760","0.00%"
"04/05/2019","93.825","93.825","93.825","93.825","0.23%"
"04/04/2019","93.608","93.608","93.608","93.608","0.48%"
"04/03/2019","93.157","93.157","93.157","93.157","-0.94%"
"04/02/2019","94.043","94.043","94.043","94.043","0.10%"
"04/01/2019","93.948","93.948","93.948","93.948","-0.87%"
"03/31/2019","94.774","94.825","94.838","94.771","-0.43%"
"03/29/2019","95.188","95.188","95.188","95.188","0.38%"
"03/28/2019","94.824","94.824","94.824","94.824","-0.01%"
"03/27/2019","94.829","94.829","94.829","94.829","0.65%"
"03/26/2019","94.212","94.212","94.212","94.212","-0.19%"
"03/25/2019","94.389","94.389","94.389","94.389","0.45%"
"03/24/2019","93.970","93.860","93.982","93.860","0.04%"
"03/22/2019","93.932","93.932","93.932","93.932","1.54%"
"03/21/2019","92.505","92.505","92.505","92.505","0.59%"
"03/20/2019","91.966","91.966","91.966","91.966","0.92%"
"03/19/2019","91.131","91.131","91.131","91.131","-0.23%"
"03/18/2019","91.339","91.339","91.339","91.339","-0.09%"
"03/17/2019","91.424","91.391","91.424","91.372","-0.01%"
